Logged: V458, 82, Highway A2, 2025-10-11 23:23:43
Logged: V740, 24, Highway A1, 2025-10-11 23:23:46
Logged: V928, 70, Highway A1, 2025-10-11 23:23:48
Logged: V132, 74, City Center, 2025-10-11 23:23:51
Logged: V839, 101, Highway A2, 2025-10-11 23:23:53
Logged: V987, 62, Airport Road, 2025-10-11 23:23:56
Logged: V678, 68, Airport Road, 2025-10-11 23:23:58
Logged: V975, 13, Downtown, 2025-10-11 23:24:01
Logged: V349, 139, Highway A1, 2025-10-11 23:24:03
Logged: V963, 22, Downtown, 2025-10-11 23:24:06
Logged: V752, 85, Highway A1, 2025-10-11 23:24:08
Logged: V311, 72, Downtown, 2025-10-11 23:24:11
Logged: V416, 10, City Center, 2025-10-11 23:24:13
Logged: V112, 128, City Center, 2025-10-11 23:24:16
Logged: V966, 52, City Center, 2025-10-11 23:24:18
Logged: V996, 12, Downtown, 2025-10-11 23:24:21
Logged: V799, 28, Downtown, 2025-10-11 23:24:23
Logged: V392, 25, Downtown, 2025-10-11 23:24:26
Logged: V540, 60, Downtown, 2025-10-11 23:24:28
Logged: V368, 35, Downtown, 2025-10-11 23:24:31